keyword,coef
light,1.00
art,0.99
room,0.99
window,0.99
city,0.98
street,0.98
reflection,0.98
museum,0.98
abstract,0.98
architecture,0.97
church,0.97
subway system,0.96
shadow,0.96
building,0.96
monochrome,0.96
indoors,0.95
hallway,0.94
no person,0.94
landscape,0.93
urban,0.93
people,0.93
dark,0.93
color,0.92
step,0.92
mirror,0.91
door,0.91
analogue,0.91
portrait,0.91
tower,0.90
tunnel,0.90
portfolio,0.90
bridge,0.89
studio,0.89
lamp,0.89
travel,0.89
abandoned,0.88
blur,0.88
insubstantial,0.87
minimalism,0.86
university,0.86
glass items,0.86
sculpture,0.85
exhibition,0.84
contrast,0.84
house,0.83
still life,0.83
geometry,0.83
coloring,0.82
black and white,0.82
theater,0.82
hotel,0.81
music,0.81
surreal,0.81
ghost,0.80
castle,0.80
modern,0.79
stadium,0.79
doorway,0.79
wall,0.78
library,0.78
model,0.78
spotlight,0.78
decay,0.78
mystery,0.76
dof,0.75
perspective,0.75
space,0.75
technology,0.75
religion,0.75
strange,0.74
design,0.74
girl,0.73
futuristic,0.73
train,0.72
vintage,0.72
geometric,0.72
mono,0.71
flash,0.70
fog,0.70
family,0.70
business,0.69
graphic,0.69
school,0.69
cathedral,0.69
locomotive,0.68
public show,0.68
apple,0.68
texture,0.68
photograph,0.67
shape,0.66
concrete,0.66
artistic,0.65
football,0.64
theatre,0.64
stage,0.64
nude,0.63
conceptual,0.63
passage,0.63
home,0.63
railway,0.63
