keyword,coef
abstract,0.99
art,0.99
architecture,0.98
futuristic,0.97
light,0.96
city,0.96
insubstantial,0.96
building,0.96
shape,0.95
texture,0.95
artistic,0.95
color,0.95
fractal,0.94
pattern,0.93
background,0.93
modern,0.93
no person,0.92
surreal,0.92
urban,0.92
geometric,0.92
design,0.92
wallpaper,0.92
dynamic,0.91
travel,0.90
space,0.90
museum,0.89
desktop,0.88
round,0.88
reflection,0.88
luminescence,0.88
curve,0.87
blur,0.87
motion,0.87
spiral,0.87
ceiling,0.87
tunnel,0.87
graphic,0.86
indoors,0.86
sky,0.85
coloring,0.83
landscape,0.83
geometry,0.83
round out,0.82
construction,0.81
circular,0.81
fantasy,0.80
window,0.80
creativity,0.79
wall,0.79
beautiful,0.77
illustration,0.77
step,0.77
impression,0.76
technology,0.76
psychedelic,0.76
mall,0.76
proportion,0.76
cityscape,0.76
line,0.75
science,0.75
gradient,0.75
mosaic,0.74
movement,0.74
vortex,0.74
mirror,0.73
tower,0.72
energy,0.72
painting,0.72
dome,0.72
subway system,0.72
contemporary,0.71
bright,0.71
explosion,0.70
creation,0.70
shadow,0.70
people,0.70
dreaming,0.70
sight,0.70
roof,0.69
form,0.69
house,0.69
room,0.68
sculpture,0.68
decoration,0.67
style,0.67
distortion,0.67
water,0.67
chaos,0.66
violet,0.66
forthcoming,0.65
bill,0.65
flame,0.65
bridge,0.65
street,0.65
template,0.65
square,0.64
fisheye,0.64
show,0.63
twirl,0.63
flower,0.62
