keyword,coef
snow,1.00
winter,1.00
snowstorm,0.99
cold,0.99
ice,0.98
people,0.97
street,0.97
storm,0.95
one,0.94
weather,0.94
frost,0.92
gloves,0.92
icee,0.91
road,0.89
snowdrift,0.89
shovel,0.88
man,0.88
frozen,0.88
fun,0.86
child,0.86
slippery,0.85
wood,0.85
outdoors,0.81
family,0.79
woman,0.79
walk,0.79
adult,0.78
landscape,0.77
boy,0.76
nature,0.76
tree,0.76
portrait,0.75
fall,0.75
jacket,0.72
spade,0.72
urban,0.72
city,0.71
wear,0.69
girl,0.68
chilled,0.68
frosty weather,0.68
recreation,0.67
calamity,0.67
action,0.66
exert,0.65
Christmas,0.65
effort,0.62
soil,0.62
park,0.62
leisure,0.62
rain,0.58
snow-white,0.56
fair weather,0.56
two,0.55
motion,0.54
powder,0.54
snowy,0.53
frosty,0.53
travel,0.53
sledge,0.52
season,0.52
scarf,0.52
danger,0.50
rake,0.50
snowman,0.50
snowball,0.50
goggles,0.49
lid,0.49
appoint,0.49
enjoyment,0.49
sport,0.48
shadow,0.47
vehicle,0.46
cool,0.46
police,0.45
pavement,0.44
sled,0.44
love,0.44
fashion,0.44
shoveling,0.44
dust,0.43
fog,0.43
house,0.42
smile,0.42
bucket,0.41
elderly,0.41
dirty,0.41
adventure,0.41
water,0.40
active,0.40
snowboard,0.39
young,0.38
snowflake,0.37
bike,0.37
safety,0.37
solo,0.37
climate change,0.35
bench,0.35
guidance,0.34
slush,0.34
