keyword,coef
shining,1.00
accessory,0.99
chain,0.99
jewelry,0.99
luxury,0.99
necklace,0.98
beads,0.98
decoration,0.97
glisten,0.97
gift,0.97
desktop,0.97
gold,0.96
gem,0.96
precious,0.95
platinum,0.94
love,0.94
bone,0.94
bracelet,0.94
pendant,0.93
wedding,0.93
shape,0.93
design,0.92
fashion,0.92
color,0.91
crystal,0.90
bright,0.89
abstract,0.89
treasure,0.88
romance,0.88
texture,0.88
burnished,0.87
symbol,0.87
closeup,0.87
engagement,0.86
bijouterie,0.86
metallic,0.86
heart,0.86
elegant,0.86
jewelry band,0.82
glass items,0.80
reflection,0.80
insubstantial,0.80
pattern,0.78
glazed,0.78
marriage,0.78
disjunct,0.77
vintage,0.77
romantic,0.75
picture frame,0.75
art,0.75
celebration,0.74
beautiful,0.74
steel,0.73
sparkling,0.73
string together,0.73
ornate,0.71
old,0.71
image,0.71
round out,0.70
wealth,0.69
no person,0.66
glamour,0.65
round,0.63
style,0.61
retro,0.60
stone,0.60
strand,0.60
Christmas,0.59
adornment,0.58
card,0.57
antique,0.57
close,0.57
fabric,0.55
family,0.55
turquoise,0.55
New Year,0.54
element,0.54
carat,0.54
anniversary,0.52
coloring,0.51
copy,0.50
margin,0.50
ball,0.49
plastic,0.49
chrome,0.48
winter,0.47
two,0.47
silvery,0.45
blank,0.45
sphere,0.44
single,0.43
nature,0.42
conceptual,0.41
locket,0.41
paper,0.41
traditional,0.41
background,0.40
valuable,0.40
hanging,0.40
iron,0.40
