keyword,confidence
portrait,1.00
people,0.99
man,0.97
woman,0.97
wedding,0.96
love,0.96
girl,0.95
fashion,0.95
model,0.95
adult,0.94
light,0.93
festival,0.91
dress,0.91
music,0.90
wear,0.90
facial expression,0.89
dark,0.89
two,0.88
couple,0.87
editorial,0.86
party,0.85
musician,0.85
actress,0.83
groom,0.83
kiss,0.81
interaction,0.80
jewelry,0.79
singer,0.78
affection,0.78
street,0.77
outfit,0.77
hotel,0.77
sexy,0.76
glamour,0.75
portfolio,0.75
concert,0.74
romance,0.74
bride,0.73
fun,0.73
studio,0.72
recreation,0.72
movie,0.72
band,0.72
red carpet,0.71
performance,0.71
togetherness,0.71
celebration,0.70
landscape,0.69
indoors,0.69
flash,0.68
smile,0.68
museum,0.67
nightlife,0.66
dancing,0.64
stroboscope,0.63
face,0.61
engagement,0.61
menswear,0.60
actor,0.59
car,0.59
three,0.58
necklace,0.57
laughing,0.56
group,0.56
tattoo,0.56
embrace,0.56
film festival,0.56
dinner jacket,0.56
jewelry band,0.55
fall,0.55
blond,0.55
theater,0.55
evening,0.54
nightclub,0.53
ceremony,0.52
dancer,0.52
happiness,0.51
stage,0.50
travel,0.50
promotion,0.50
enjoyment,0.50
flower,0.50
lid,0.50
city,0.50
birthday,0.50
flirt,0.49
desire,0.49
friendship,0.48
summer,0.48
restaurant,0.48
beautiful,0.48
veil,0.48
subway system,0.48
beach,0.47
bar,0.46
punk,0.46
outdoors,0.46
backstage,0.46
color,0.45
cinema,0.44
